feature,horizon,decile,n,feat_lo,feat_hi,mean_bps,median_bps,hit,lift_bps,hit_lift
range,2,6,12160,0.001160144571862032,0.001392757660167131,0.1865479436810405,0.541625415142466,0.5151315789473684,0.08981101550262693,0.0030016447368420573
range,2,7,12160,0.0013927797034012314,0.0017040457343887423,0.10791334808254013,0.6259691116328181,0.5129934210526316,0.011176419904126572,0.0008634868421052433
range,2,8,12160,0.0017040882339018886,0.002173258885285366,0.13551863373424966,0.5428754453540297,0.5129111842105263,0.0387817055558361,0.0007812499999999556
range,2,9,12160,0.002173258885285366,0.00303951367781155,-0.10473508895271563,0.9164677687345524,0.5167763157894737,-0.2014720171311292,0.004646381578947367
range,2,10,12160,0.003039658038470672,0.03288987435328899,0.062023370603691896,0.88865734926169,0.5106907894736842,-0.034713557574721665,-0.0014391447368421462
body_frac,2,1,12160,0.0,0.0967741935483871,0.19250786361611052,0.43179506812207613,0.5079769736842106,0.09577093543769696,-0.004152960526315752
body_frac,2,2,12160,0.0967741935483871,0.19047619047619047,0.3783430758935301,0.7685811781410479,0.523108552631579,0.28160614771511655,0.010978618421052633
body_frac,2,3,12160,0.19047619047619047,0.27941176470588236,0.16165182393504152,0.4856845335876603,0.5110197368421052,0.06491489575662795,-0.0011101973684211064
body_frac,2,4,12160,0.27941176470588236,0.36666666666666664,-0.07506543357268511,0.49557730685489965,0.5113486842105263,-0.17180236175109867,-0.0007812500000000666
body_frac,2,5,12160,0.36666666666666664,0.4482758620689655,-0.00830492194027231,0.5226470290620178,0.5154605263157894,-0.10504185011868587,0.003330592105263097
body_frac,2,6,12160,0.4482758620689655,0.5294117647058824,-0.057778608833160626,0.40421224857478677,0.5078125,-0.1545155370115742,-0.0043174342105263275
body_frac,2,7,12160,0.5294117647058824,0.6114285714285714,0.21123536134290327,0.5362221282378954,0.5174342105263158,0.11449843316448971,0.005304276315789447
body_frac,2,8,12160,0.6114942528735632,0.7,0.03655697721694292,0.43400894385370314,0.5075657894736842,-0.06017995096147064,-0.0045641447368420796
