feature,decile,n,feat_lo,feat_hi,p_up,lift
lower_wick,3,12544,0.08695652173913043,0.13636363636363635,0.5135522959183674,0.0005181760204081565
lower_wick,4,12544,0.13636363636363635,0.1875,0.5071747448979592,-0.005859375
lower_wick,5,12544,0.1875,0.2459016393442623,0.5099649234693877,-0.003069196428571508
lower_wick,6,12544,0.2459016393442623,0.30612244897959184,0.5144292091836735,0.0013950892857143016
lower_wick,7,12544,0.30612244897959184,0.375,0.5141900510204082,0.0011559311224489388
lower_wick,8,12544,0.375,0.4666666666666667,0.517219387755102,0.004185267857142794
lower_wick,9,12544,0.4666666666666667,0.5892857142857143,0.5131536989795918,0.00011957908163262587
lower_wick,10,12544,0.5892857142857143,1.0,0.5072544642857143,-0.005779655612244916
mom2,1,12544,-0.024578168938407398,-0.0016522706957194416,0.4803093112244898,-0.03272480867346944
mom2,2,12544,-0.0016522239304547935,-0.0008693377117685606,0.49609375,-0.016940369897959218
mom2,3,12544,-0.0008693373553985108,-0.0004636520032375739,0.5146683673469388,0.0016342474489795533
mom2,4,12544,-0.0004636306902322217,-0.00019391118867558658,0.5227997448979592,0.009765625
mom2,5,12544,-0.00019390178737680467,4.414013624963681e-05,0.5214445153061225,0.00841039540816324
mom2,6,12544,4.4140190082026475e-05,0.0002672914604881179,0.5283003826530612,0.015266262755102011
mom2,7,12544,0.0002673110805542244,0.0005313044596669441,0.5174585459183674,0.0044244260204081565
mom2,8,12544,0.0005313635454270412,0.0009141288258861848,0.5103635204081632,-0.0026705994897959773
mom2,9,12544,0.0009141534458605668,0.0016109169125234617,0.5160235969387755,0.002989477040816313
mom2,10,12544,0.0016109401948042304,0.03157259506359692,0.5228794642857143,0.009845344387755084
accel,1,12544,-0.027450790826029168,-0.0016205383367824972,0.49306441326530615,-0.019969706632653073
accel,2,12544,-0.001620457292359561,-0.0009085164616742336,0.51171875,-0.0013153698979592177
accel,3,12544,-0.00090844349195766,-0.0005302102118404351,0.5167410714285714,0.003706951530612179
accel,4,12544,-0.0005302001455445425,-0.00025346228932392054,0.5185746173469388,0.005540497448979553
accel,5,12544,-0.0002534596198819094,-2.6708587989431737e-07,0.5251116071428571,0.012077487244897878
accel,6,12544,-2.669264801264098e-07,0.00022254663561431146,0.5154655612244898,0.0024314413265306145
accel,7,12544,0.00022257525754885863,0.0005095014053353673,0.5199298469387755,0.006895727040816313
accel,8,12544,0.0005095281888136692,0.0009002695168185986,0.5113998724489796,-0.0016342474489796643
accel,9,12544,0.0009003205965254985,0.001632182804474101,0.5130739795918368,3.985969387754196e-05
accel,10,12544,0.0016321933161844498,0.03113695866390514,0.5052614795918368,-0.007772640306122458
run_len,1,12544,-15.0,-2.0,0.4976084183673469,-0.01542570153061229
run_len,2,12544,-2.0,-2.0,0.5070153061224489,-0.006018813775510279
run_len,3,12544,-2.0,-1.0,0.5147480867346939,0.0017139668367346372
run_len,4,12544,-1.0,-1.0,0.5191326530612245,0.006098533163265252
run_len,5,12544,-1.0,1.0,0.5073341836734694,-0.005699936224489832
run_len,6,12544,1.0,1.0,0.5115593112244898,-0.0014748086734693855
run_len,7,12544,1.0,1.0,0.521125637755102,0.008091517857142794
run_len,8,12544,1.0,2.0,0.5076530612244898,-0.0053810586734693855
run_len,9,12544,2.0,3.0,0.5188934948979592,0.005859375
run_len,10,12544,3.0,15.0,0.5252710459183674,0.012236926020408156
rng_contract,1,12544,0.0,0.5758983699518834,0.5254304846938775,0.012396364795918324
rng_contract,2,12543,0.5759046394077455,0.6782436197112063,0.517738977915969,0.004704858018009794
rng_contract,3,12543,0.6782514056538823,0.7642046182260934,0.5198915729889181,0.006857453090958865
rng_contract,4,12544,0.7642131250269613,0.8487002474472886,0.5098852040816326,-0.003148915816326592
rng_contract,5,12543,0.8487094937765368,0.9382483849702883,0.5167025432512158,0.003668423353256567
rng_contract,6,12543,0.9382599029066323,1.0433332648974396,0.506577373834011,-0.006456746063948193
rng_contract,7,12544,1.0433459087495462,1.1757061532232729,0.5183354591836735,0.005301339285714302
rng_contract,8,12543,1.1757100685139843,1.3640110421477445,0.5173403491987563,0.004306229300797049
rng_contract,9,12543,1.3640133796244631,1.7397431128419065,0.5034680698397512,-0.009566050058207987
